fireID,firename,fireEndMonth,start_date,end_date,fireyear,firesize,n_observations
73,LOS FLORES,April,3/31/2007,4/1/2007,2007,4099.966,1
75,PIONEER,,,,2005,1877.539,1
82,VERBENIA,July,7/11/2004,7/16/2004,2004,3831.371,1
263,PINES,August,7/29/2002,8/16/2002,2002,61691.24,7
271,PARADISE,June,6/22/2005,6/25/2005,2005,3081.726,5
314,EAGLE,July,7/21/2020,7/29/2020,2011,13992.99,1
315,GREAT,,,,2011,2133.962,1
329,BANNER FIRE,May,5/24/2012,5/29/2012,2012,5320.116,1
414,BLUE CUT,August,8/16/2016,8/23/2016,2016,36266.55,5
416,TRAVERTINE,,,,2010,21.78754,1
417,STEWART,August,8/13/2012,8/19/2012,2012,10630.18,30
508,BLUE CUT,June,6/16/2002,6/22/2002,2002,6821.039,3
521,TRAM,,,,2001,123.7714,4
553,GEO,,,,2006,704.0587,1
565,HACKBERRY COMPLEX 1,June,6/22/2005,6/24/2005,2005,63771.3,15
653,PUSHWALLA,,,,2006,2194.778,2
932,DEL PUERTO,,,,2006,2592.979,2
1108,LAKE,September,8/12/2020,9/28/2020,2020,30999.28856,3
1109,DOME,September,8/16/2020,9/14/2020,2020,44211.08459,20
1110,BOBCAT,September,9/6/2020,12/18/2020,2020,115997.5701,3
1112,DEL PUERTO,October,8/16/2020,10/1/2020,2020,390647.2556,2
